community_id,eu_count,load_kW,cv_tol,avg_start,stop_updates,price_update_count,avg_samples,formal_cv,held_cv,lambda_step,max_age,runtime_s,success,formal_stable,no_nan_inf,audit_pass,stop_reason,delay_hash,update_hash,qre_hash,error_message
83,85,1693.03384294099,16.9303384294099,790,1575,1575,785,16.8491269038729,3.60460171507884,2.65318282385851e-07,6,3.4028529,1,1,1,1,dynamic_average_price_step_and_relative_cv,338307977,1206447008,3531036557,
84,80,1767.96049974513,17.6796049974513,878,1627,1627,749,17.6040432132725,4.15946784866446,3.08616199595768e-07,6,3.3968595,1,1,1,1,dynamic_average_price_step_and_relative_cv,1135976310,2647099897,1142856430,
85,80,1663.01397877228,16.6301397877228,599,1247,1247,648,16.5312029965417,3.5347686562404,3.63509507661508e-07,6,2.9117285,1,1,1,1,dynamic_average_price_step_and_relative_cv,2308727658,960882289,2551229933,
86,80,1597.26020755048,15.9726020755048,676,1393,1393,717,15.8991167402826,3.06117657057808,3.01157961818399e-07,6,2.9091342,1,1,1,1,dynamic_average_price_step_and_relative_cv,3621709847,259787445,4223300506,
87,80,1559.68393453764,15.5968393453764,674,1509,1509,835,15.520540323284,2.75126208244089,1.99495537187011e-07,6,3.3056981,1,1,1,1,dynamic_average_price_step_and_relative_cv,2427379426,525126996,49111952,
88,120,2532.35106440437,25.3235106440437,1572,2739,2739,1167,18.9751610655104,4.9566889421036,1.23317504818754e-07,6,7.2158469,1,1,1,1,dynamic_average_price_step_and_relative_cv,1580235657,3416343995,2948245086,
89,80,1669.46599641664,16.6946599641664,850,1662,1662,812,16.6288806227817,3.43789393972349,2.39618282715792e-07,6,3.5532717,1,1,1,1,dynamic_average_price_step_and_relative_cv,2186767470,2106852212,1690727888,
90,80,1475.56109869773,14.7556109869773,670,1574,1574,904,14.6966761409022,2.26142898571521,1.68904787850588e-07,6,3.2670448,1,1,1,1,dynamic_average_price_step_and_relative_cv,1119855198,4094941213,2659468830,
91,70,1342.17505668472,13.4217505668472,555,1318,1318,763,13.3536470356689,1.68268575206665,1.99815735846265e-07,6,2.6528191,1,1,1,1,dynamic_average_price_step_and_relative_cv,4093292506,1245719653,1987154512,
92,90,1824.37682177974,18.2437682177974,792,1449,1449,657,18.1433156694188,4.61499169049563,3.89203838296881e-07,6,3.4731489,1,1,1,1,dynamic_average_price_step_and_relative_cv,312244350,2577355255,1717693096,
93,90,1980.44752609914,19.8044752609914,992,1763,1763,771,18.6994382706745,4.93076803518528,2.82574035434524e-07,6,3.8794205,1,1,1,1,dynamic_average_price_step_and_relative_cv,470957913,1487543008,770021385,
94,80,1505.62760288578,15.0562760288578,868,1874,1874,1006,14.9956958207951,2.42267924140367,2.28102991481349e-07,6,3.6463448,1,1,1,1,dynamic_average_price_step_and_relative_cv,635164855,1716418875,1114255969,
95,80,1684.5519888407,16.845519888407,1941,3504,3504,1563,16.8094332840435,3.33270567509021,2.83631931163875e-07,6,5.2237789,1,1,1,1,dynamic_average_price_step_and_relative_cv,1646077801,106918964,1887495828,
96,50,891.006747744311,8.91006747744311,1033,2761,2761,1728,8.88842703764658,0.384648606336668,8.83317745614676e-08,6,2.9377995,1,1,1,1,dynamic_average_price_step_and_relative_cv,718394222,3749974258,478369617,
97,50,931.06486479118,9.3106486479118,1047,2779,2779,1732,9.28956879738928,0.398541007127392,6.22766734292846e-08,6,3.0999281,1,1,1,1,dynamic_average_price_step_and_relative_cv,3951765510,3613298839,3170403662,
98,120,2237.45584231852,22.3745584231852,3151,5147,5147,1996,19.2026089548499,4.97328782286354,1.658538087701e-07,6,11.6852284,1,1,1,1,dynamic_average_price_step_and_relative_cv,2877702223,1048181426,2351939650,
99,120,2394.08326592741,23.9408326592741,3250,5246,5246,1996,19.214613120419,4.97639678429027,1.47210536372011e-07,6,11.6261177,1,1,1,1,dynamic_average_price_step_and_relative_cv,4000290938,3229960949,1522691463,
100,120,2583.07733718406,25.8307733718406,3314,5310,5310,1996,19.2119111174097,4.97569699194582,1.59360220464144e-07,6,11.7592362,1,1,1,1,dynamic_average_price_step_and_relative_cv,3121594316,265866204,155989251,
101,70,1542.78462147532,15.4278462147532,1696,3214,3214,1518,15.3915799597771,2.48649776610091,2.62045410759359e-07,6,4.4553322,1,1,1,1,dynamic_average_price_step_and_relative_cv,3628565050,1644180056,364792325,
102,70,1492.92744155202,14.9292744155202,1673,3251,3251,1578,14.8912544313064,2.21105012912358,2.56654649755106e-07,6,4.4769861,1,1,1,1,dynamic_average_price_step_and_relative_cv,1699020254,2516442113,4042790134,
103,70,1378.86730763449,13.7886730763449,1620,3349,3349,1729,13.756047550643,1.64637575727807,1.26812167433599e-07,6,4.6585168,1,1,1,1,dynamic_average_price_step_and_relative_cv,467929497,1208595099,2239973036,
104,70,1463.89713797679,14.6389713797679,1651,3267,3267,1616,14.6071018467933,2.05521742193514,1.61879856408476e-07,6,4.465787,1,1,1,1,dynamic_average_price_step_and_relative_cv,2470680797,1583299396,1937359237,
105,110,2201.40917112672,22.0140917112672,2888,4718,4718,1830,19.1857912854023,4.97315824423345,1.86384957995278e-07,6,9.8139489,1,1,1,1,dynamic_average_price_step_and_relative_cv,51197516,125587644,1364285816,
106,80,1825.85032396139,18.2585032396139,2012,3424,3424,1412,18.2120853110528,4.31781437738778,3.83243930646149e-07,6,5.76677,1,1,1,1,dynamic_average_price_step_and_relative_cv,887406601,1298824217,1018566582,
107,80,1677.79946614062,16.7779946614062,1229,2310,2310,1081,16.7278299204136,3.42935884919621,3.38265623067713e-07,6,4.1903613,1,1,1,1,dynamic_average_price_step_and_relative_cv,3882729077,1755390128,2407388532,
108,100,1863.56235756029,18.6356235756029,1550,2758,2758,1208,18.5815663820141,4.65675891270212,2.47899104549587e-07,6,5.7941595,1,1,1,1,dynamic_average_price_step_and_relative_cv,4072572832,279895564,3524424558,
109,100,1953.80374480593,19.5380374480593,1424,2544,2544,1120,18.9314001219416,4.95646515206442,3.15018134716682e-07,6,5.1247885,1,1,1,1,dynamic_average_price_step_and_relative_cv,3306017590,627910606,3537170044,
110,80,1586.9707235193,15.869707235193,1920,3604,3604,1684,15.8351496859002,2.71249654434337,2.00660671884068e-07,6,5.9163505,1,1,1,1,dynamic_average_price_step_and_relative_cv,994103294,3288168162,1338558550,
111,80,1516.17369603436,15.1617369603436,1888,3666,3666,1778,15.1285809297638,2.30927327189193,1.62437131162596e-07,6,5.1787102,1,1,1,1,dynamic_average_price_step_and_relative_cv,2464982231,3631319678,1349784080,
